supplier_id,sku,ean,upc,isbn,gtin,name,slug,short_description,description,brand_id,category_id,cost_price,base_price,base_price_tax,special_price,special_price_start,special_price_end,discount_type,discount_value,stock_qty,manage_stock,type,visibility,weight,width,height,length,meta_title,meta_description,meta_keywords,is_featured,is_new,tax_class_id,status,created_at,updated_at,deleted_at
,NK-ECO01,,,,,D-300 Det. Limpeza de Superficies LIM?O,d-300-det-limpeza-de-superficies-limao,Produto profissional indicado para d-300 det. limpeza de superficies lim?o.,"D-300 Det. Limpeza de Superficies LIM?O Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,11,simple,both,,,,,,,,1,0,1,active,,,
,NK-ECO02,,,,,D-310 Det. Limpeza de Superficies ALOê VERA,d-310-det-limpeza-de-superficies-aloe-vera,Produto profissional indicado para d-310 det. limpeza de superficies aloÇ vera.,"D-310 Det. Limpeza de Superficies ALOê VERA Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,12,simple,both,,,,,,,,0,1,1,active,,,
,NK-ECO04,,,,,D-330 Det. Limpeza de Superficies LAVANDA,d-330-det-limpeza-de-superficies-lavanda,Produto profissional indicado para d-330 det. limpeza de superficies lavanda.,"D-330 Det. Limpeza de Superficies LAVANDA Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,13,simple,both,,,,,,,,1,1,1,active,,,
,NK-ECO09,,,,,D-340 Det. Limpeza de Superficies PINHO,d-340-det-limpeza-de-superficies-pinho,Produto profissional indicado para d-340 det. limpeza de superficies pinho.,"D-340 Det. Limpeza de Superficies PINHO Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,14,simple,both,,,,,,,,1,1,1,active,,,
,NK-ECO11,,,,,D-360 Det. Limpeza de Superficies MAÄ?,d-360-det-limpeza-de-superficies-maca,Produto profissional indicado para d-360 det. limpeza de superficies maá?.,"D-360 Det. Limpeza de Superficies MAÄ? Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,15,simple,both,,,,,,,,0,0,1,active,,,
,NK-BR68,,,,,EASYCLEAN LIM?O VERDE - Detergente de limpeza di†ria,easyclean-limao-verde---detergente-de-limpeza-diaria,Produto profissional indicado para easyclean lim?o verde - detergente de limpeza di†ria.,"EASYCLEAN LIM?O VERDE - Detergente de limpeza di†ria Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,0.92,1.19,,,,,,0,16,simple,both,,,,,,,,0,1,1,active,,,
,DM-207/5,,,,,D-450 Detergente Limpa Vidros Concentrado,d-450-detergente-limpa-vidros-concentrado,Produto profissional indicado para d-450 detergente limpa vidros concentrado.,"D-450 Detergente Limpa Vidros Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.35,1.75,,,,,,0,17,simple,both,,,,,,,,0,1,1,active,,,
,DM-207/1,,,,,D-450 Detergente Limpa Vidros Concentrado C/PISTOLA,d-450-detergente-limpa-vidros-concentrado-cpistola,Produto profissional indicado para d-450 detergente limpa vidros concentrado c/pistola.,"D-450 Detergente Limpa Vidros Concentrado C/PISTOLA Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.58,2.05,,,,,,0,18,simple,both,,,,,,,,0,1,1,active,,,
,DM-233/5,,,,,D-500 Desengordurante Super Concentrado,d-500-desengordurante-super-concentrado,Produto profissional indicado para d-500 desengordurante super concentrado.,"D-500 Desengordurante Super Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,2.52,3.27,,,,,,0,19,simple,both,,,,,,,,1,0,1,active,,,
,DM-233/1,,,,,D-500 Desengordurante Super Concentrado C/PISTOLA,d-500-desengordurante-super-concentrado-cpistola,Produto profissional indicado para d-500 desengordurante super concentrado c/pistola.,"D-500 Desengordurante Super Concentrado C/PISTOLA Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,2.30,2.99,,,,,,0,20,simple,both,,,,,,,,1,1,1,active,,,
,DM-660/5,,,,,D-600 Detergente em Gel c/Cloro Activo,d-600-detergente-em-gel-ccloro-activo,Produto profissional indicado para d-600 detergente em gel c/cloro activo.,"D-600 Detergente em Gel c/Cloro Activo Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.46,1.9,,,,,,0,21,simple,both,,,,,,,,1,1,1,active,,,
,DM-660/1,,,,,D-600 Detergente em Gel c/Cloro Activo 1LT,d-600-detergente-em-gel-ccloro-activo-1lt,Produto profissional indicado para d-600 detergente em gel c/cloro activo 1lt.,"D-600 Detergente em Gel c/Cloro Activo 1LT Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.58,2.05,,,,,,0,22,simple,both,,,,,,,,1,1,1,active,,,
,NKBR49,,,,,STRONGCLEAN - Desengordurante Concentrado,strongclean---desengordurante-concentrado,Produto profissional indicado para strongclean - desengordurante concentrado.,"STRONGCLEAN - Desengordurante Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.91,2.48,,,,,,0,23,simple,both,,,,,,,,0,0,1,active,,,
,NK-BR05,,,,,POWERCLEAN WC - Desinfetante de WC,powerclean-wc---desinfetante-de-wc,Produto profissional indicado para powerclean wc - desinfetante de wc.,"POWERCLEAN WC - Desinfetante de WC Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,6,,1.69,2.2,,,,,,0,24,simple,both,,,,,,,,0,0,1,active,,,
,DM-100MAQ,,,,,D-100 - Desengordurante Geral,d-100---desengordurante-geral,Produto profissional indicado para d-100 - desengordurante geral.,"D-100 - Desengordurante Geral Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,2.12,2.75,,,,,,0,25,simple,both,,,,,,,,1,1,1,active,,,
,DM-001,,,,,Manigel - Limpeza de M?os,manigel---limpeza-de-maos,Produto profissional indicado para manigel - limpeza de m?os.,"Manigel - Limpeza de M?os Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,18.29,23.75,,,,,,0,26,simple,both,,,,,,,,1,0,1,active,,,
,NK-MDET,,,,,MULTIDETPOWER - Detergente Multiusos,multidetpower---detergente-multiusos,Produto profissional indicado para multidetpower - detergente multiusos.,"MULTIDETPOWER - Detergente Multiusos Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,3.84,4.99,,,,,,0,27,simple,both,,,,,,,,0,0,1,active,,,
,DM-125/5,,,,,Remofast - Limpa Secret†rias,remofast---limpa-secretarias,Produto profissional indicado para remofast - limpa secret†rias.,"Remofast - Limpa Secret†rias Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,3.27,4.25,,,,,,0,28,simple,both,,,,,,,,0,1,1,active,,,
,DM-400/5,,,,,Cera Acrilica,cera-acrilica,Produto profissional indicado para cera acrilica.,"Cera Acrilica Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,5,,4.58,5.95,,,,,,0,29,simple,both,,,,,,,,1,0,1,active,,,
,DM-401/5,,,,,Cera Acrilica Vermelha,cera-acrilica-vermelha,Produto profissional indicado para cera acrilica vermelha.,"Cera Acrilica Vermelha Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,5,,4.58,5.95,,,,,,0,30,simple,both,,,,,,,,0,1,1,active,,,
,DM-402/5,,,,,Cera Acrilica Amarela,cera-acrilica-amarela,Produto profissional indicado para cera acrilica amarela.,"Cera Acrilica Amarela Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,5,,4.58,5.95,,,,,,0,31,simple,both,,,,,,,,0,1,1,active,,,
,DM-450/5,,,,,Lava Encera,lava-encera,Produto profissional indicado para lava encera.,"Lava Encera Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,5,,2.66,3.45,,,,,,0,32,simple,both,,,,,,,,1,0,1,active,,,
,DM-500/5,,,,,Decapante de Ceras,decapante-de-ceras,Produto profissional indicado para decapante de ceras.,"Decapante de Ceras Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,5,,3.66,4.75,,,,,,0,33,simple,both,,,,,,,,1,1,1,active,,,
,DM-451/5,,,,,D-Limad Detergente de limpeza e tratamento de madeiras,d-limad-detergente-de-limpeza-e-tratamento-de-madeiras,Produto profissional indicado para d-limad detergente de limpeza e tratamento de madeiras.,"D-Limad Detergente de limpeza e tratamento de madeiras Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,1.73,2.25,,,,,,0,34,simple,both,,,,,,,,1,1,1,active,,,
,DM-100/5,,,,,D-830 Neutralys - Desinfectante Desengordurante ?rea Alimentar,d-830-neutralys---desinfectante-desengordurante-area-alimentar,Produto profissional indicado para d-830 neutralys - desinfectante desengordurante †rea alimentar.,"D-830 Neutralys - Desinfectante Desengordurante ?rea Alimentar Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,2.89,3.75,,,,,,0,35,simple,both,,,,,,,,0,0,1,active,,,
,DM-611/5,,,,,D-810 Detergente Desinfectante Bactericida Herbal,d-810-detergente-desinfectante-bactericida-herbal,Produto profissional indicado para d-810 detergente desinfectante bactericida herbal.,"D-810 Detergente Desinfectante Bactericida Herbal Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,6,,1.69,2.2,,,,,,0,36,simple,both,,,,,,,,1,1,1,active,,,
,DM-1005/5,,,,,D-850 Gel de M?os AntisÇptico,d-850-gel-de-maos-antiseptico,Produto profissional indicado para d-850 gel de m?os antisÇptico.,"D-850 Gel de M?os AntisÇptico Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,3.47,4.5,,,,,,0,37,simple,both,,,,,,,,0,1,1,active,,,
,DM-1000,,,,,D-840 Gel de M?os Desinfetante Bactericida,d-840-gel-de-maos-desinfetante-bactericida,Produto profissional indicado para d-840 gel de m?os desinfetante bactericida.,"D-840 Gel de M?os Desinfetante Bactericida Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,1,,2.29,2.98,,,,,,0,38,simple,both,,,,,,,,1,0,1,active,,,
,DM-1006,,,,,D-900 Detergente Desinfectante Evaporaá?o R†pida,d-900-detergente-desinfectante-evaporacao-rapida,Produto profissional indicado para d-900 detergente desinfectante evaporaá?o r†pida.,"D-900 Detergente Desinfectante Evaporaá?o R†pida Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,4.04,5.25,,,,,,0,39,simple,both,,,,,,,,0,0,1,active,,,
,NK-101/1,,,,,Pastilhas Desinfectantes Efervescentes,pastilhas-desinfectantes-efervescentes,Produto profissional indicado para pastilhas desinfectantes efervescentes.,"Pastilhas Desinfectantes Efervescentes Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,19.75,25.65,,,,,,0,40,simple,both,,,,,,,,0,1,1,active,,,
,DM1009/5,,,,,Powergerm Desinfetante Virucida,powergerm-desinfetante-virucida,Produto profissional indicado para powergerm desinfetante virucida.,"Powergerm Desinfetante Virucida Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,6,,2.89,3.75,,,,,,0,41,simple,both,,,,,,,,0,1,1,active,,,
,DM1009,,,,,Powergerm Desinfetante Virucida 750ml,powergerm-desinfetante-virucida-750ml,Produto profissional indicado para powergerm desinfetante virucida 750ml.,"Powergerm Desinfetante Virucida 750ml Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,6,,3.27,4.25,,,,,,0,42,simple,both,,,,,,,,1,1,1,active,,,
,DM-FLASH,,,,,POWERFULL - Desentupidor Qu°mico Concentrado,powerfull---desentupidor-quimico-concentrado,Produto profissional indicado para powerfull - desentupidor qu°mico concentrado.,"POWERFULL - Desentupidor Qu°mico Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,7.66,9.95,,,,,,0,43,simple,both,,,,,,,,0,0,1,active,,,
,NKBIO01,,,,,BIOBLOCK - Pastilhas Urinol Enzim†ticas,bioblock---pastilhas-urinol-enzimaticas,Produto profissional indicado para bioblock - pastilhas urinol enzim†ticas.,"BIOBLOCK - Pastilhas Urinol Enzim†ticas Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,32.90,42.73,,,,,,0,44,simple,both,,,,,,,,0,1,1,active,,,
,NKBIO02,,,,,Tela Pl†stica para Pastilha BIOBLOCK,tela-plastica-para-pastilha-bioblock,Produto profissional indicado para tela pl†stica para pastilha bioblock.,"Tela Pl†stica para Pastilha BIOBLOCK Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,7,,4.62,6,,,,,,0,45,simple,both,,,,,,,,0,1,1,active,,,
,NKAP01,,,,,AMBIPOWER BOSS - Ambientador Concentrado,ambipower-boss---ambientador-concentrado,Produto profissional indicado para ambipower boss - ambientador concentrado.,"AMBIPOWER BOSS - Ambientador Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,17,,7.66,9.95,,,,,,0,46,simple,both,,,,,,,,1,1,1,active,,,
,NKAP02,,,,,AMBIPOWER ET - Ambientador Concentrado,ambipower-et---ambientador-concentrado,Produto profissional indicado para ambipower et - ambientador concentrado.,"AMBIPOWER ET - Ambientador Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,17,,7.66,9.95,,,,,,0,47,simple,both,,,,,,,,1,1,1,active,,,
,NKAP03,,,,,AMBIPOWER CK - Ambientador Concentrado,ambipower-ck---ambientador-concentrado,Produto profissional indicado para ambipower ck - ambientador concentrado.,"AMBIPOWER CK - Ambientador Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,17,,7.66,9.95,,,,,,0,48,simple,both,,,,,,,,1,1,1,active,,,
,NKAP04,,,,,AMBIPOWER ML - Ambientador Concentrado,ambipower-ml---ambientador-concentrado,Produto profissional indicado para ambipower ml - ambientador concentrado.,"AMBIPOWER ML - Ambientador Concentrado Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,17,,7.66,9.95,,,,,,0,49,simple,both,,,,,,,,0,1,1,active,,,
,2001,,,,,Guardanapo 33x33 Folha simples,guardanapo-33x33-folha-simples,Produto profissional indicado para guardanapo 33x33 folha simples.,"Guardanapo 33x33 Folha simples Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,17.25,22.4,,,,,,0,49,simple,both,,,,,,,,1,1,1,active,,,
,2003,,,,,Guardanapo 40x40 Ponto por Ponto,guardanapo-40x40-ponto-por-ponto,Produto profissional indicado para guardanapo 40x40 ponto por ponto.,"Guardanapo 40x40 Ponto por Ponto Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,17.67,22.95,,,,,,0,49,simple,both,,,,,,,,0,0,1,active,,,
,2005,,,,,Guardanapo Tipo L,guardanapo-tipo-l,Produto profissional indicado para guardanapo tipo l.,"Guardanapo Tipo L Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,11.03,14.32,,,,,,0,49,simple,both,,,,,,,,0,0,1,active,,,
,2006,,,,,Guardanapo BAR D/1000,guardanapo-bar-d1000,Produto profissional indicado para guardanapo bar d/1000.,"Guardanapo BAR D/1000 Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,2.31,3,,,,,,0,49,simple,both,,,,,,,,1,1,1,active,,,
,3005,,,,,Toalha de m?o ECO LINE 19x21 2800F,toalha-de-mao-eco-line-19x21-2800f,Produto profissional indicado para toalha de m?o eco line 19x21 2800f.,"Toalha de m?o ECO LINE 19x21 2800F Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,12.57,16.32,,,,,,0,49,simple,both,,,,,,,,0,0,1,active,,,
,3014,,,,,Toalha de m?os SOFT LINE + 3000F,toalha-de-maos-soft-line-3000f,Produto profissional indicado para toalha de m?os soft line + 3000f.,"Toalha de m?os SOFT LINE + 3000F Ç um produto de uso profissional, desenvolvido para garantir efic†cia, seguranáa e elevado rendimento. Adequado para utilizaá?o regular em ambientes domÇsticos e profissionais como restauraá?o, hotelaria, ind£stria e serviáos.",,8,,21.14,27.45,,,,,,0,49,simple,both,,,,,,,,0,0,1,active,,,
